field_id,table_name,field_name,description,data_type,required_when,unit_or_allowed_values,collection_method,collection_frequency,responsible_role,acceptable_evidence,validation_rule,sensitivity_class,linked_metrics
farm.record_id,farm,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
farm.farm_id,farm,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
farm.evidence_ids,farm,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
farm.data_status,farm,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
farm.qa_status,farm,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
farm.farm_name,farm,farm_name,Farm name,text,required,,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.car_number,farm,car_number,CAR/SICAR identifier,string,required where legally applicable,,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.operator_type,farm,operator_type,Producer organization type,enum,required,individual|company|cooperative|group_member|other,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.municipality_code,farm,municipality_code,IBGE municipality code,string,required,,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.state_code,farm,state_code,Brazil state abbreviation,enum,required,AC|AL|AP|AM|BA|CE|DF|ES|GO|MA|MT|MS|MG|PA|PB|PR|PE|PI|RJ|RN|RS|RO|RR|SC|SP|SE|TO,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.biome_primary,farm,biome_primary,Primary biome by property area,enum,required,Amazon|Cerrado|Atlantic Forest|Caatinga|Pantanal|Pampa,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.total_property_area_ha,farm,total_property_area_ha,Validated total property area,decimal,required,ha,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.tenure_status,farm,tenure_status,Farm operator tenure/use-right status,enum,required,owner|lease|concession|collective|other|disputed,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.rights_evidence_status,farm,rights_evidence_status,Status of documented land-use rights,enum,required,verified|pending|missing|disputed,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.smallholder_or_group_flag,farm,smallholder_or_group_flag,Program-defined smallholder/group support flag,boolean,required,true|false,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
farm.active_status,farm,active_status,Farm enrollment status,enum,required,active|suspended|withdrawn,onboarding records,onboarding/on change,farm data steward,official record or verified program record,domain/type and evidence check,program-confidential,M01|M04
reporting_period.record_id,reporting_period,record_id,Immutable unique row identifier,string,required,,system assigned,at creation,data system,system record,unique; immutable,program-confidential,
reporting_period.farm_id,reporting_period,farm_id,Program-issued farm/property identifier,string,required,,system lookup,each record,farm data steward,farm master record,must exist in farm table,program-confidential,M01
reporting_period.evidence_ids,reporting_period,evidence_ids,Pipe-delimited evidence IDs supporting row,list,required when evidence is specified,,evidence register linkage,each record,farm data steward,evidence register,every ID must exist,program-confidential,
reporting_period.data_status,reporting_period,data_status,Status of value/record,enum,required,observed|measured|estimated|unknown|not_collected|not_applicable,,each record,submitter,record metadata,estimated requires method; unknown cannot be zero,program-confidential,
reporting_period.qa_status,reporting_period,qa_status,Review state,enum,required,submitted|automated_check_passed|reviewed|verified|rejected,,each review,reviewer,review log,verified only by authorized reviewer,program-confidential,
reporting_period.reporting_period_id,reporting_period,reporting_period_id,Unique reporting period ID,string,required,,program/farm annual record,annual,farm data steward,signed submission and program record,end >= start; cutoff fixed unless approved,program-confidential,M01|M02|M03|M04|M05|M06
reporting_period.period_start_date,reporting_period,period_start_date,Reporting period start,date,required,YYYY-MM-DD,program/farm annual record,annual,farm data steward,signed submission and program record,end >= start; cutoff fixed unless approved,program-confidential,M01|M02|M03|M04|M05|M06
reporting_period.period_end_date,reporting_period,period_end_date,Reporting period end,date,required,YYYY-MM-DD,program/farm annual record,annual,farm data steward,signed submission and program record,end >= start; cutoff fixed unless approved,program-confidential,M01|M02|M03|M04|M05|M06
reporting_period.submission_date,reporting_period,submission_date,Farm submission date,date,required,YYYY-MM-DD,program/farm annual record,annual,farm data steward,signed submission and program record,end >= start; cutoff fixed unless approved,program-confidential,M01|M02|M03|M04|M05|M06
reporting_period.applicable_cutoff_date,reporting_period,applicable_cutoff_date,Strictest conversion cutoff applied,date,required,YYYY-MM-DD,program/farm annual record,annual,farm data steward,signed submission and program record,end >= start; cutoff fixed unless approved,program-confidential,M01|M02|M03|M04|M05|M06
