record_id,source_name,source_version,source_type,source_status,clause_or_page,requirement_summary,normative_strength,applicable_actor,commodity_scope,geography_scope,producer_or_system_scope,taxonomy_id,category_name,metric_layer,pressure_state_response,spatial_scale,time_horizon,metric_or_evidence,unit,baseline_rule,threshold_or_trajectory,direction_of_improvement,data_source,protocol,monitoring_frequency,assurance_method,equivalence_code,brazil_relevance,biome_relevance,legal_relationship,rights_or_equity_safeguard,cobenefit_links,estimated_burden,evidence_confidence,gaming_or_perverse_incentive_risk,gap_or_conflict,candidate_program_treatment,reviewer,review_status,notes
RTRS-1.1,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"1.1.1–1.1.2, p.6",Awareness of and compliance with applicable local and national legislation.,shall,producer,soy,global; apply Brazil interpretation/law,producer,B14,Governance traceability assurance and rights,A safeguard,response,property,annual unless stated,legal register; public data; interviews; field observations,pass/fail,current law,compliant,avoid harm / improve,records and official data,source clause plus program metric specification,annual/event,independent audit,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
RTRS-1.2.1,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"1.2.1, p.7",Documented evidence of rights to use land.,shall,producer,soy,global; apply Brazil interpretation/law,producer,B14,Governance traceability assurance and rights,A safeguard,response,property,annual unless stated,land-use-right evidence and conflict screen,pass/fail,current status,demonstrable and no unresolved material rights conflict,avoid harm / improve,official records; stakeholder evidence,source clause plus program metric specification,annual/event,audit plus stakeholder consultation,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
RTRS-1.3,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"1.3.1–1.3.3, p.7","Identify improvement aspects, establish baselines, monitor and act.",shall,producer,soy,global; apply Brazil interpretation/law,producer,B14,Governance traceability assurance and rights,B pressure/practice,response,property,annual unless stated,selected indicators and monitoring results,various,first certification,continuous improvement,avoid harm / improve,farm records,source clause plus program metric specification,annual,internal monitoring reviewed by auditor,E4,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core universal,desk research,desk reviewed; dual/legal review pending,
RTRS-3.2,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"3.2, pp.18–19",Traditional land-user rights and disputes must be addressed.,shall,producer,soy,global; apply Brazil interpretation/law,producer,B14,Governance traceability assurance and rights,A safeguard,response,property/landscape,annual unless stated,rights due diligence; agreement; grievance,pass/fail,current status,no rights violation,avoid harm / improve,records; stakeholder consultation,source clause plus program metric specification,annual/event,independent audit,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
RTRS-4.1,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"4.1.1–4.1.4, pp.21–22",Assess on- and off-site social/environmental impacts; implement reviewable measures.,shall,producer,soy,global; apply Brazil interpretation/law,producer,B14,Governance traceability assurance and rights,B pressure/practice,response,property/landscape,annual unless stated,impact assessment and mitigation plan,pass/fail + actions,before expansion/change,material impacts mitigated,avoid harm / improve,assessment; stakeholder input,source clause plus program metric specification,before change; review,independent audit,E4,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core universal,desk research,desk reviewed; dual/legal review pending,
RTRS-4.4.2,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"4.4.2, p.25","No conversion after 3 June 2016 in natural land, steep slopes, or legally designated conservation/social/cultural protection areas.",shall,producer,soy,global; apply Brazil interpretation/law,producer,B1,Conversion deforestation and land-use change,A safeguard,pressure,property,annual unless stated,post-cutoff conversion screen,ha; pass/fail,3 Jun 2016,zero conversion,avoid harm / improve,remote sensing; records,source clause plus program metric specification,annual/event,independent geospatial audit,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,Program default is no later than 31 Dec 2020; preserve stricter/earlier claim-specific cutoff.
RTRS-4.5.1,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"4.5.1, p.25","Farm map shows native vegetation, production areas, and watercourses.",shall,producer,soy,global; apply Brazil interpretation/law,producer,B2,Habitat extent and protection,A safeguard,state,property,annual unless stated,complete geospatial farm map,% mapped,current boundary,100% relevant features mapped,avoid harm / improve,GIS; farm map,source clause plus program metric specification,annual/update,geospatial audit,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
RTRS-4.5.2,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"4.5.2, pp.25–26",Implement and monitor plan maintaining native vegetation and wildlife with indicators and baseline.,shall,producer,soy,global; apply Brazil interpretation/law,producer,B3,Habitat condition and integrity,C state/condition,state,property,annual unless stated,habitat/wildlife plan implementation and condition indicator,index; % actions,first verified condition,stable or improving,avoid harm / improve,field/GIS; plan records,source clause plus program metric specification,annual actions; 2–3y condition,audit + field sample,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core universal,desk research,desk reviewed; dual/legal review pending,
RTRS-4.5.3,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"4.5.3, p.26","Protect endemic, rare, threatened, or endangered species; no hunting or collecting.",shall,producer,soy,global; apply Brazil interpretation/law,producer,B6,Species and populations,A safeguard,state,property,annual unless stated,risk screen; incidents; protection measures,pass/fail,current occurrence/risk,zero prohibited incidents,avoid harm / improve,records; surveys; stakeholder evidence,source clause plus program metric specification,annual/event,audit/field checks,E2,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,required safeguard,desk research,desk reviewed; dual/legal review pending,
RTRS-4.5.4,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"4.5.4, p.26",Farms with less than 10% native vegetation implement/promote conservation and restoration activities.,shall when triggered,producer,soy,global; apply Brazil interpretation/law,producer,B5,Restoration and regeneration,C state/condition,response,property/landscape,annual unless stated,conservation/restoration area and progress,ha; condition,first verified measurement,implemented and improving,avoid harm / improve,GIS; field plots,source clause plus program metric specification,annual; 2–3y condition,audit + field sample,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core conditional,desk research,desk reviewed; dual/legal review pending,
RTRS-5.1,RTRS Standard for Responsible Soy Production,4.0,production standard,current supplied version; recheck before release,"5.1.1–5.1.3, pp.28–29","Maintain soil quality, monitor it, and implement erosion-control plan.",shall,producer,soy,global; apply Brazil interpretation/law,producer,B11,Soil condition and biota,B pressure/practice,pressure/state,field/property,annual unless stated,soil cover; erosion risk; condition,% cover; index,first verified measurement,stable/improving,avoid harm / improve,farm records; field,source clause plus program metric specification,annual/seasonal,audit + field sample,E3,high,all; triggers vary,apply strictest law; legal review required,rights screen and accessible grievance required,climate; water; soil; livelihoods as applicable,medium,high,medium,,core universal,desk research,desk reviewed; dual/legal review pending,
