metric_id,metric_name,farm_level_output,applicability_trigger,calculation_grain,required_tables,required_fields,provisional_calculation_rule,output_unit,safeguard_or_direction,minimum_frequency,missing_data_rule,key_qa_checks,claim_limit
M01,Traceable sourcing coverage,traceable_volume_pct; unknown_volume_tonnes,all farms/volume,farm x reporting period,farm|geometry|field|sourcing_lot,farm_id; validated property geometry; lot volume; traceability type; origin fields,100 * sum(volume_tonnes where traceability_type supports claim and required origin evidence is verified) / sum(all volume_tonnes),percent; tonnes,safeguard: target 100%; unknown is unresolved,each lot; annual result,missing/unknown lot volume remains in denominator and is not traceable,duplicate lots; volume plausibility; origin field and geometry validity,"state coverage, traceability model, and denominator"
M02,No post-cutoff natural-ecosystem conversion,post_cutoff_conversion_ha; status,all farms,farm x reporting period/cutoff,farm|reporting_period|geometry|habitat_polygon|land_cover_observation|incident,cutoff date; validated boundary; change area/date/type; conversion flag; disposition,sum(area_ha where natural_ecosystem_conversion_flag=yes and change_end_date > applicable_cutoff_date); status fails if >0 confirmed; pending/uncertain is unresolved,ha; pass/fail/unresolved,safeguard: zero confirmed conversion,annual/event,missing historical/current evidence or pending alert = unresolved,gross not net; all natural ecosystems; boundary/version/date; field-check material alerts,"state cutoff, ecosystem scope, coverage, uncertainty"
M03,Legal/protected/riparian/wetland compliance,compliance_status; affected_area_ha,all farms,farm x reporting period,farm|geometry|habitat_polygon|water_source|incident|evidence_register|assurance_finding,legal designation; permit/status; incident/finding status; area,fail if material unresolved noncompliance or disturbance; report gross affected area and open actions separately,pass/fail/unresolved; ha,safeguard: compliant and protected,annual/event,missing required permit/designation evidence = unresolved,CAR not sole proof; overlapping designations not double counted; official/current source,legal compliance only; not an outcome claim
M04,Rights tenure grievance and FPIC screen,rights_status; open_cases_by_severity,all farms,farm x reporting period,farm|rights_grievance|evidence_register|assurance_finding,tenure/right evidence; cases; consent/FPIC; severity; status,fail for confirmed rights violation/invalid required consent; unresolved for disputed/missing rights or open high/critical case pending review; count cases by status/severity,pass/fail/unresolved; count,safeguard: rights respected,continuous/annual,missing rights evidence = unresolved,restricted access; no complaint absence inference; retaliation screen,do not disclose sensitive identities/details
M05,Threatened-species protection and incident screen,protection_status; incidents_count; actions_open,all farms; targeted survey when risk trigger,farm x reporting period,habitat_polygon|species_observation|incident|evidence_register,risk/occurrence; threat-list version; action status; hunting/collection/mortality incidents,fail for prohibited hunting/collection or unaddressed material harm; report observations and open protection actions without treating no records as absence,pass/fail/unresolved; count,safeguard: protect species,annual/event,no occurrence record does not mean absent; missing risk screen = unresolved,expert ID; current list; sensitive locations; action closure,protection evidence only unless standardized response survey
M06,Prohibited pesticide and contamination/buffer breach,prohibited_use_count; breach_count; status,all crop-producing farms,farm x reporting period,pesticide_application|agrochemical_inventory_transaction|incident|evidence_register,registration; active ingredient; prohibited flag; buffer/weather; incidents,fail if any confirmed prohibited application or unremediated material contamination/buffer breach; count and area separately,pass/fail; count; ha,safeguard: zero prohibited use/material breach,each application/event; annual result,missing application/product evidence = unresolved,current prohibited list; purchase/inventory/application reconciliation; incident linkage,compliance/incident claim only
M07,Native/semi-natural habitat extent and annual loss,habitat_extent_ha_pct; gross_loss_ha; gross_gain_ha,all farms,farm x ecosystem class x reporting period,farm|geometry|habitat_polygon|land_cover_observation,property area; polygon class/area; change area/type/confidence,extent_pct=100*unique current habitat polygon area/property area; separately sum confirmed gross_loss and gross_gain by ecosystem class,ha; percent,zero loss; maintain/increase extent,annual,unclassified/uncertain area reported separately and excluded from positive extent claim,unique non-overlap area; boundary consistency; gross not net; confidence,"extent/change only, not condition"
M08,Habitat management plan implementation and condition,actions_completion_pct; condition_score_change,all farms with habitat,habitat polygon x assessment period,habitat_polygon|habitat_management_action|habitat_condition_observation|evidence_register,management plan/actions; raw indicators; method; reference; condition score,action completion=100*verified due actions completed/due actions; condition change=current approved score - comparable baseline score; report by ecosystem/polygon,percent; score points,complete actions; stable/improving condition,actions annual; condition 2-3 yearly/event,no comparable repeat = no condition-change result,same method/season/site or documented adjustment; raw-to-score reproducible,action claim and condition claim reported separately
M09,Riparian/wetland protection and restoration progress,protected_extent_ha; disturbed_ha; restoration_progress,farms with riparian/wetland features,farm/polygon x reporting period,habitat_polygon|land_cover_observation|restoration_observation|incident,designation/class; area; loss/disturbance; restoration interventions/condition,"report unique protected extent, confirmed gross disturbance, hectares under restoration, survival/condition indicators, and reversals separately",ha; percent; condition score,protect; zero disturbance; restoration improves,annual; condition 2-3 yearly,missing mapping/required monitoring = unresolved/no positive claim,no overlap double count; planted ≠ restored; reversal reported,"separate protection, activity, and outcome claims"
M10,Pesticide toxic-load trajectory and IPM,active_ingredient_kg_ha; toxic_load_index_ha; IPM evidence,all crop-producing farms,crop cycle/field x reporting period,crop_cycle|pesticide_application|agrochemical_inventory_transaction|ipm_scouting|evidence_register,amount; concentration; area; active ingredient; approved toxicity factor; scouting/threshold/decision,AI kg/ha=sum(product amount * concentration conversion)/treated area; toxic load=sum(AI mass * approved factor)/managed area; report scouting coverage and decisions; compare like crop/region baseline,kg a.i./ha; index/ha; percent,reduce risk and reliance; prohibited rule separate,each application/scout; annual result,applications without composition/factor reported unknown; not scored as zero,units; duplicate apps; treated vs managed area; factor version; purchase/inventory reconciliation,"modeled pressure, not biodiversity outcome"
